energy,theta,2theta,IT_cps_ave,I0_cps_ave
8344.25,77.4463,155.3326,19340.190274,186251.886879
8344.5,77.43845,155.3169,19203.276326,186640.995539
8344.75,77.4306,155.3012,19135.148216,186361.540356
8345.0,77.42275,155.28555,18937.669744,186531.386834
8345.25,77.41495,155.26985,18831.995483,186303.296422
8345.5,77.4071,155.2542,18828.119814,186129.3071
8345.75,77.3993,155.2386,18668.298084,186232.566864
8346.0,77.39145,155.22295,18499.307232,186149.058692
8346.25,77.38365,155.2073,18282.605282,186102.061741
8346.5,77.37585,155.1917,18037.98043,186063.994165
8346.75,77.36805,155.1761,17978.169729,186256.438058
8347.0,77.36025,155.1605,17827.835494,185740.988505
8347.25,77.35245,155.14495,17701.394555,185793.896243
8347.5,77.3447,155.12935,17646.223503,185948.411243
8347.75,77.3369,155.1138,17588.57974,185823.9277
8348.0,77.32915,155.09825,17505.862869,185808.780928
8348.25,77.32135,155.08275,17528.82534,185634.567651
8348.5,77.3136,155.0672,17363.313559,185586.913032
8348.75,77.30585,155.0517,17453.404491,185901.199647
8349.0,77.2981,155.0362,17380.964384,185553.796773
8349.25,77.29035,155.0207,17494.382756,185559.347572
8349.5,77.2826,155.0052,17484.686173,185618.87643
8349.75,77.27485,154.98975,17478.118087,185528.535356
8350.0,77.26715,154.97425,17554.085706,185590.920391
8350.25,77.2594,154.9588,17593.159937,185572.715356
8350.5,77.2517,154.94335,17650.658185,185268.014177
8350.75,77.24395,154.92795,17725.149324,185382.86888
8351.0,77.23625,154.9125,17851.361051,185671.414828
8351.25,77.22855,154.8971,17911.605448,185461.06912
8351.5,77.22085,154.8817,17947.598269,185516.605319
8351.75,77.21315,154.8663,18056.150673,185360.873236
8352.0,77.20545,154.8509,18184.341451,185263.054959
8352.25,77.19775,154.83555,18297.704323,185367.186113
8352.5,77.1901,154.8202,18386.104802,185155.722715
8352.75,77.1824,154.80485,18442.153058,185387.406105
8353.0,77.17475,154.7895,18637.285845,185120.540831
8353.25,77.1671,154.77415,18659.357351,184955.384388
8353.5,77.1594,154.75885,18716.127757,184934.768086
8353.75,77.15175,154.7435,18821.018071,184679.452608
8354.0,77.1441,154.7282,18909.29678,184489.403135
8354.25,77.13645,154.71295,19045.157973,184439.310251
8354.5,77.12885,154.69765,19132.818819,184313.892941
8354.75,77.1212,154.6824,19306.898668,184326.225894
8355.0,77.11355,154.6671,19467.287699,184018.209911
8355.25,77.10595,154.65185,19429.929051,184446.653262
8355.5,77.0983,154.6366,19529.400421,184015.035821
8355.75,77.0907,154.6214,19728.407854,184138.603344
8356.0,77.0831,154.60615,19673.773788,183744.832935
8356.25,77.0755,154.59095,19853.780972,183804.662693
8356.5,77.0679,154.57575,19870.863069,183603.130461
8356.75,77.0603,154.56055,19996.130495,183824.73415
8357.0,77.0527,154.5454,19981.735181,183831.836316
8357.25,77.0451,154.5302,20071.158277,183705.029594
8357.5,77.0375,154.51505,20090.634092,183644.119598
8357.75,77.02995,154.4999,20145.687225,183900.79704
8358.0,77.02235,154.48475,20138.398143,183438.454962
8358.25,77.0148,154.4696,20194.184788,183654.609595
8358.5,77.00725,154.4545,20290.553491,183770.690083
8358.75,76.9997,154.4394,20306.532835,183759.560112
8359.0,76.99215,154.42425,20277.086555,183849.786422
8359.25,76.9846,154.4092,20295.295794,183304.861956
8359.5,76.97705,154.3941,20312.835075,183856.897113
8359.75,76.9695,154.379,20274.460658,183856.653425
8360.0,76.962,154.36395,20267.702238,183772.631589
8360.25,76.95445,154.3489,20265.883129,183641.095464
8360.5,76.9469,154.33385,20207.889865,183714.922842
8360.75,76.9394,154.3188,20172.955204,183762.870223
8361.0,76.9319,154.3038,20170.468562,184051.640669
8361.25,76.9244,154.28875,20187.138856,183862.543149
8361.5,76.9169,154.27375,20141.539462,184172.693281
8361.75,76.9094,154.25875,20035.489411,184286.754333
8362.0,76.9019,154.24375,20029.893295,184133.763498
8362.25,76.8944,154.2288,19914.855746,184352.401437
8362.5,76.8869,154.2138,19811.873563,184406.696351
8362.75,76.87945,154.19885,19733.514518,184439.037218
8363.0,76.87195,154.1839,19636.924913,184279.366616
8363.25,76.8645,154.16895,19499.856925,184252.280924
8363.5,76.857,154.15405,19406.23994,184254.650747
8363.75,76.84955,154.1391,19286.868847,184827.566117
8364.0,76.8421,154.1242,19126.863919,184405.352984
8364.25,76.83465,154.1093,19029.597257,184411.56864
8364.5,76.8272,154.0944,18863.221122,184280.639523
8364.75,76.81975,154.0795,18781.434864,184491.277948
8365.0,76.8123,154.06465,18673.311001,184488.849634
8365.25,76.8049,154.04975,18430.308344,184453.745823
8365.5,76.79745,154.0349,18296.148705,184433.715062
8365.75,76.79005,154.02005,18190.727777,184241.436392
8366.0,76.7826,154.0052,18046.096677,184465.347487
8366.25,76.7752,153.9904,17956.093241,184415.146675
8366.5,76.7678,82.6537,17839.413884,184509.933084
8366.75,76.76035,153.96075,17634.834109,184209.09121
8367.0,76.75295,153.94595,17547.035257,184413.88396
8367.25,76.74555,153.93115,17366.145986,184459.787463
8367.5,76.7382,153.91635,17211.015014,184308.997025
8367.75,76.7308,153.9016,17060.575621,184463.290332
8368.0,76.7234,153.8868,16910.167019,184342.876007
8368.25,76.71605,153.87205,16767.145176,184323.779976
8368.5,76.70865,153.8573,16584.715731,184628.095249
8368.75,76.7013,153.84255,16508.820378,184619.144902
8369.0,76.6939,153.82785,16430.107275,184750.256431
8369.25,76.68655,153.8131,16286.276163,184705.36577
8369.5,76.6792,153.7984,16175.18413,184932.715503
8369.75,76.67185,153.7837,16078.520579,184704.918001
8370.0,76.6645,153.769,15977.736832,184717.446562
8370.25,76.65715,153.75435,15884.421492,185022.037369
8370.5,76.64985,153.73965,15821.967787,185102.878941
8370.75,76.6425,153.725,15784.74618,185052.900207
8371.0,76.63515,153.7103,15709.351044,185029.075333
8371.25,76.62785,153.69565,15636.00851,185058.704208
8371.5,76.6205,153.68105,15671.217445,184972.763024
8371.75,76.6132,153.6664,15664.734538,185602.0783
8372.0,76.6059,153.6518,15545.357113,185377.501999
8372.25,76.5986,153.63715,15543.100776,185084.745118
8372.5,76.5913,153.62255,15582.593651,185637.923947
8372.75,76.584,153.60795,15580.188065,185946.275575
8373.0,76.5767,153.59335,15683.554459,185890.423812
8373.25,76.5694,153.5788,15631.127774,185830.11463
8373.5,76.5621,153.5642,15734.857516,186018.228044
8373.75,76.55485,153.54965,15861.705704,185876.795342
8374.0,76.54755,153.5351,15892.504968,186186.768992
8374.25,76.5403,153.52055,16077.600654,186554.016819
8374.5,76.533,153.50605,16048.833828,186623.15491
8374.75,76.52575,153.4915,16168.319725,186621.818847
8375.0,76.5185,153.477,16287.183938,186864.117535
8375.25,76.51125,153.46245,16397.591489,186959.904832
8375.5,76.504,153.44795,16495.089283,187334.676745
8375.75,76.49675,153.4335,16610.029023,187530.202212
8376.0,76.4895,153.419,16862.90038,187803.984114
8376.25,76.48225,153.4045,16904.690005,188240.964443
8376.5,76.47505,153.39005,17088.399951,188717.357793
8376.75,76.4678,153.3756,17213.285051,188552.84683
8377.0,76.46055,153.36115,17358.630505,188923.967583
8377.25,76.45335,153.3467,17675.508209,189227.069902
8377.5,76.44615,153.33225,17799.689378,189664.938138
8377.75,76.43895,153.31785,17922.472194,190085.839718
8378.0,76.4317,153.30345,18188.795845,190358.663006
8378.25,76.4245,153.28905,18390.137212,191036.935098
8378.5,76.4173,153.27465,18596.712459,191845.223186
8378.75,76.4101,153.26025,18709.933832,192135.808637
8379.0,76.40295,153.24585,18917.3274,192776.261199
8379.25,76.39575,153.2315,19206.961901,193334.114003
8379.5,76.38855,153.2171,19380.118695,194102.211767
8379.75,76.3814,153.20275,19577.601604,194657.909787
8380.0,76.3742,153.1884,19781.053772,195506.258321
8380.25,76.36705,153.1741,19942.448666,196342.925898
8380.5,76.35985,153.15975,20212.100015,197295.107654
8380.75,76.3527,153.14545,20397.035521,198279.445651
8381.0,76.34555,153.1311,20730.509598,199589.701571
8381.25,76.3384,153.1168,20955.428166,200465.614413
8381.5,76.33125,153.1025,21194.233311,201950.465491
8381.75,76.3241,153.0882,21450.377801,203389.036689
8382.0,76.31695,153.07395,21735.261161,204572.448821
8382.25,76.30985,153.05965,22000.713548,206080.693695
8382.5,76.3027,153.0454,22343.639434,207690.225551
8382.75,76.29555,153.03115,22586.762154,209945.637453
8383.0,76.28845,153.0169,22847.01283,211544.087601
8383.25,76.28135,153.00265,23225.908041,213665.606786
8383.5,76.2742,152.98845,23475.978465,215615.646345
8383.75,76.2671,152.9742,23862.035341,217788.684059
8384.0,76.26,152.96,24277.509693,219898.043231
8384.25,76.2529,152.9458,24473.314136,222503.848867
8384.5,76.2458,152.9316,24793.425731,224706.768315
8384.75,76.2387,152.9174,25160.109476,227850.461444
8385.0,76.2316,152.9032,25562.73449,230300.821379
8385.25,76.2245,152.88905,25776.86428,232850.079167
8385.5,76.21745,82.6537,26225.645819,235801.737032
8385.75,76.21035,152.8607,26576.813904,237953.612831
8386.0,76.2033,152.84655,26761.15752,240472.925945
8386.25,76.1962,152.8324,27108.034669,242816.093201
8386.5,76.18915,152.8183,27414.944257,244392.848022
8386.75,76.1821,152.80415,27522.30037,246206.121478
8387.0,76.175,152.79005,27826.216137,247503.222313
8387.25,76.16795,152.77595,27891.150598,248394.43898
8387.5,76.1609,152.76185,28012.283514,249466.544758
8387.75,76.15385,152.74775,28074.742846,249912.640075
8388.0,76.14685,152.73365,28102.711242,249803.091402
8388.25,76.1398,152.7196,28003.463579,249511.646704
8388.5,76.13275,152.7055,27966.615592,248304.061993
8388.75,76.1257,152.69145,27865.732611,247654.442866
8389.0,76.1187,152.6774,27781.269208,246276.34345
8389.25,76.11165,152.66335,27602.226167,244218.014927
8389.5,76.10465,152.6493,27323.976622,242553.956234
8389.75,76.09765,152.6353,27142.032643,240527.900572
8390.0,76.09065,152.62125,27026.168256,238430.733895
8390.25,76.0836,152.60725,26583.244598,236119.9898
8390.5,76.0766,152.59325,26349.145042,233802.696593
8390.75,76.0696,152.57925,26020.302825,231517.505639
8391.0,76.0626,152.56525,25951.80687,228825.043259
8391.25,76.05565,152.55125,25557.500578,226481.305018
8391.5,76.04865,152.5373,25300.774404,224167.696567
8391.75,76.04165,152.5233,24935.131648,221380.822612
8392.0,76.0347,152.50935,24724.333186,219504.938773
8392.25,76.0277,152.4954,24461.294931,216915.994656
8392.5,76.02075,152.48145,24157.050183,214927.90279
8392.75,76.01375,152.46755,24002.664437,212841.760078
8393.0,76.0068,152.4536,23665.955277,210796.896654
